modelo,horizonte_semanas,janela_incidencia_semanas,n_amostras_teste,acuracia,acuracia_balanceada,f1_macro,f2_macro,f1_ponderado,pr_auc_macro,log_loss,erro_absoluto_nivel_medio,acuracia_ate_um_nivel,kappa_quadratico,subestimacao_grave_taxa,arvores_selecionadas,potencia_peso_classes,validacao_oof_f2_macro,validacao_oof_acuracia_balanceada,epocas_selecionadas,tipo
XGBoost,1,4,4888,0.9584697217675942,0.8648857759575261,0.8520730325435378,0.8593247692773635,0.9599083443778732,0.8889569560531648,0.0996669863227512,0.0419394435351882,0.9995908346972175,0.8841483910153969,0.0004091653027823,593.0,0.75,0.8392705445370958,0.8411189968861181,,modelo
LSTM,1,4,4888,0.9554009819967266,0.7984158769960443,0.7975590176253785,0.7956011382927206,0.9562749664803696,0.8702067148504745,0.1767299601281473,0.0450081833060556,0.9995908346972175,0.8717282510363902,0.0004091653027823,,0.5,0.8198612820369771,0.8272533498996065,16.0,modelo
RNA,1,4,4888,0.9447626841243862,0.7453066559043215,0.7083283308137436,0.7255083051149636,0.9475927100198632,0.705178961810709,0.1743105500296726,0.0560556464811783,0.9993862520458264,0.8481408690260503,0.0006137479541734,,0.5,0.8043748759082141,0.8135933189655232,14.0,modelo
Referencia: persistencia,1,4,4888,0.9529459901800328,0.7805582925499013,0.7805582925499013,0.7805582925499013,0.9529459901800328,0.6417916022012323,0.6500780283045713,0.0482815057283142,0.9989770867430442,0.8563898861813459,0.0004091653027823,,,,,,referencia
Referencia: sempre Baixo,1,4,4888,0.8747954173486089,0.25,0.2333042339589698,0.2430429246998908,0.8163738988613382,0.25,1.729767857915994,0.1462765957446808,0.9844517184942716,0.0,0.0155482815057283,,,,,,referencia
XGBoost,2,4,4888,0.8962765957446809,0.6903124523090476,0.6576960676012471,0.6710439609693277,0.907298348032594,0.6706849973490641,0.2631656138095496,0.1051554828150572,0.998567921440262,0.7306714492309279,0.0008183306055646,572.0,1.0,0.7405596048616504,0.7553024583354797,,modelo
LSTM,2,4,4888,0.9288052373158756,0.6390032258119325,0.6574155021997703,0.6435763253673655,0.9306380460049816,0.6916431099151936,0.2413006919987401,0.0730360065466448,0.9981587561374796,0.7798636091127098,0.0016366612111292,,0.5,0.7207025558195592,0.7245194880858905,15.0,modelo
RNA,2,4,4888,0.9208265139116204,0.5845148662087829,0.5576481785682066,0.5689856278850535,0.924172157843437,0.5955993895289772,0.2338183719276124,0.080810147299509,0.998567921440262,0.7641032496414943,0.0014320785597381,,0.5,0.7079013924414294,0.7127159263245396,10.0,modelo
Referencia: persistencia,2,4,4888,0.919394435351882,0.6234219719795732,0.6234219719795732,0.6234219719795732,0.919394435351882,0.4608784599628491,1.1136097876141873,0.0851063829787234,0.9963175122749592,0.7311618669314797,0.0018412438625204,,,,,,referencia
Referencia: sempre Baixo,2,4,4888,0.8747954173486089,0.25,0.2333042339589698,0.2430429246998908,0.8163738988613382,0.25,1.729767857915994,0.1462765957446808,0.9844517184942716,0.0,0.0155482815057283,,,,,,referencia
